alpha3,lon,lat,capacity,treatment_type
SVK,18.91,48.66,827,secondary
NLD,5.225,51.588,36283,tertiary
NLD,5.445,51.562,58567,tertiary
SVK,18.78,49.29,14240,tertiary
NLD,5.173,51.502,39983,tertiary
SVK,18.8,49.33,1062,secondary
NLD,5.744,51.393,49815,tertiary
NLD,5.663,51.507,219733,tertiary
SVK,20.97,49.15,4946,tertiary
NLD,5.529,51.638,231688,tertiary
SVK,18.52,48.7,0,secondary
NLD,5.451,51.701,40774,tertiary
SVK,17.84,48.74,16281,secondary
NLD,5.488,51.813,167894,tertiary
SVK,17.33,48.67,21346,tertiary
NLD,5.894,51.696,105893,tertiary
SVK,17.7,48.77,7711,secondary
NLD,5.706,50.872,91490,tertiary
SVK,21.65,49.18,4918,tertiary
NLD,5.736,51.267,121256,tertiary
SVK,17.01,48.26,7368,tertiary
SVK,18.18,48.53,37249,tertiary
NLD,5.683,50.866,63828,tertiary
SVK,17.97,48.01,3646,tertiary
NLD,5.97,50.833,9312,secondary
SVK,18.3,48.23,9099,tertiary
NLD,5.956,50.889,16432,secondary
SVK,18.72,48.47,3556,secondary
DEU,6.092,50.92,33869,tertiary
SVK,18.38,48.36,18198,tertiary
NLD,6.05,50.884,54127,tertiary
SVK,18.23,48.58,1172,secondary
NLD,5.914,50.914,128648,tertiary
SVK,18.15,48.22,1148,secondary
NLD,5.715,50.817,32363,tertiary
SVK,21.55,49.02,4812,tertiary
NLD,6.156,51.382,199851,tertiary
SVK,17.81,48.71,1128,tertiary
NLD,5.87,51.35,5928,tertiary
SVK,19.62,48.76,920,secondary
NLD,5.896,50.827,44739,tertiary
NLD,5.989,51.552,47080,tertiary
NLD,5.752,50.975,23638,tertiary
SVK,21.52,49.1,1775,tertiary
NLD,5.833,51.064,179090,tertiary
SVK,19.6,49.28,1365,secondary
NLD,5.88,51.173,27506,secondary
SVK,17.81,48.07,1793,secondary
NLD,5.989,51.221,175659,tertiary
SVK,20.4,48.97,1842,tertiary
NLD,5.964,51.706,31278,tertiary
SVK,18.49,49.2,0,secondary
NLD,4.801,52.414,241467,tertiary
SVK,21.07,49.06,712,tertiary
NLD,5.073,51.603,326750,tertiary
SVK,17.02,48.64,888,secondary
NLD,6.71,53.167,29159,tertiary
SVK,20.37,49.23,4093,tertiary
NLD,6.889,53.25,0,tertiary
SVK,18.24,49.19,1110,secondary
NLD,6.259,53.12,0,tertiary
SVK,18.27,47.78,1572,secondary
NLD,7.192,53.012,0,tertiary
SVK,20.63,48.91,676,secondary
NLD,7.083,53.184,0,tertiary
SVK,21.27,48.53,5032,secondary
NLD,6.791,53.224,0,tertiary
SVK,18.07,48.2,1778,secondary
NLD,7.1,53.042,0,tertiary
SVK,16.99,48.57,2523,secondary
NLD,6.628,53.181,0,tertiary
NLD,7.161,52.947,0,tertiary
SVK,19.4,48.8,446,tertiary
NLD,5.938,52.964,0,tertiary
SVK,17.81,47.91,107,tertiary
NLD,6.32,53.067,0,tertiary
NLD,6.845,52.83,0,tertiary
SVK,18.46,48.63,0,secondary
NLD,6.699,53.098,0,tertiary
SVK,17.83,48.27,727,secondary
SVK,19.55,48.8,2221,secondary
NLD,6.348,52.76,0,tertiary
NLD,6.731,52.752,0,tertiary
SVK,20.01,48.85,400,secondary
NLD,6.6,52.864,0,tertiary
SVK,19.85,48.85,2680,secondary
NLD,6.718,52.644,0,tertiary
SVK,20.97,48.7,787,secondary
NLD,6.671,52.607,0,tertiary
SVK,18.09,48.43,533,tertiary
SVK,18.3,47.91,169,secondary
NLD,6.476,52.606,0,tertiary
SVK,17.17,48.46,2443,secondary
NLD,6.85,52.358,0,tertiary
NLD,6.617,52.455,0,tertiary
SVK,20.68,48.89,693,primary
SVK,17.14,48.64,1102,secondary
NLD,6.73,52.26,0,tertiary
SVK,18.64,48.74,479,secondary
NLD,6.919,52.358,0,tertiary
SVK,17.35,48.3,3187,tertiary
NLD,6.792,52.21,0,tertiary
SVK,17.66,48.19,1747,secondary
NLD,6.853,52.187,0,tertiary
NLD,6.584,52.301,0,tertiary
SVK,17.81,48.25,2160,secondary
NLD,6.646,52.205,0,tertiary
NLD,6.603,52.131,0,tertiary
NLD,6.515,52.119,0,tertiary
SVK,21.86,48.85,2164,tertiary
SVK,18.53,48.27,2769,primary
NLD,5.502,51.913,0,tertiary
