alpha3,scenario,year,fractionUrban
UZB,SSP1,2100,0.833
VUT,SSP1,2025,0.322
VUT,SSP1,2030,0.349
VUT,SSP1,2050,0.463
VUT,SSP1,2100,0.715
VEN,SSP1,2025,0.92
VEN,SSP1,2030,0.93
VEN,SSP1,2050,0.963
VEN,SSP1,2100,0.999
VNM,SSP1,2025,0.385
VNM,SSP1,2030,0.413
VNM,SSP1,2050,0.527
VNM,SSP1,2100,0.755
ESH,SSP1,2025,0.913
ESH,SSP1,2030,0.924
ESH,SSP1,2050,0.959
ESH,SSP1,2100,0.999
YEM,SSP1,2025,0.411
YEM,SSP1,2030,0.443
YEM,SSP1,2050,0.567
YEM,SSP1,2100,0.785
ZMB,SSP1,2025,0.475
ZMB,SSP1,2030,0.503
ZMB,SSP1,2050,0.609
ZMB,SSP1,2100,0.793
ZWE,SSP1,2025,0.415
ZWE,SSP1,2030,0.443
ZWE,SSP1,2050,0.555
ZWE,SSP1,2100,0.771
AFG,SSP2,2025,0.289
AFG,SSP2,2030,0.306
AFG,SSP2,2050,0.378
AFG,SSP2,2100,0.549
ALB,SSP2,2025,0.575
ALB,SSP2,2030,0.592
ALB,SSP2,2050,0.656
ALB,SSP2,2100,0.767
DZA,SSP2,2025,0.727
DZA,SSP2,2030,0.741
DZA,SSP2,2050,0.783
DZA,SSP2,2100,0.841
ASM,SSP2,2025,0.901
ASM,SSP2,2030,0.908
ASM,SSP2,2050,0.939
ASM,SSP2,2100,0.984
AND,SSP2,2025,0.91
AND,SSP2,2030,0.918
AND,SSP2,2050,0.947
AND,SSP2,2100,0.987
AGO,SSP2,2025,0.671
AGO,SSP2,2030,0.692
AGO,SSP2,2050,0.755
AGO,SSP2,2100,0.835
ARG,SSP2,2025,0.932
ARG,SSP2,2030,0.939
ARG,SSP2,2050,0.962
ARG,SSP2,2100,0.992
ARM,SSP2,2025,0.677
ARM,SSP2,2030,0.691
ARM,SSP2,2050,0.736
ARM,SSP2,2100,0.809
AUS,SSP2,2025,0.878
AUS,SSP2,2030,0.886
AUS,SSP2,2050,0.916
AUS,SSP2,2100,0.974
AZE,SSP2,2025,0.583
AZE,SSP2,2030,0.599
AZE,SSP2,2050,0.66
AZE,SSP2,2100,0.77
BHS,SSP2,2025,0.841
BHS,SSP2,2030,0.845
BHS,SSP2,2050,0.869
BHS,SSP2,2100,0.946
BHR,SSP2,2025,0.909
BHR,SSP2,2030,0.916
BHR,SSP2,2050,0.946
BHR,SSP2,2100,0.987
BGD,SSP2,2025,0.382
BGD,SSP2,2030,0.407
BGD,SSP2,2050,0.505
BGD,SSP2,2100,0.696
BLR,SSP2,2025,0.782
BLR,SSP2,2030,0.792
BLR,SSP2,2050,0.821
BLR,SSP2,2100,0.878
BEL,SSP2,2025,0.986
BEL,SSP2,2030,0.988
